Tratamento,Rep,Altura,DAC
SEM,1,16.5,3.1
SEM,2,12.4,2.9
SEM,3,20.1,3.7
SEM,4,9.3,1.7
NPK,1,18.6,3
NPK,2,16.2,2.6
NPK,3,21.7,3.8
NPK,4,22.9,3.5
NPK,5,29.7,3.5
NPK,6,24.6,2.9
NPK,7,26.8,3.2
NPK,8,22.5,3
NPK,9,21.5,3
NPK,10,24.6,3.4
NPK,11,17.4,2.7
NPK,12,24.7,3.4
Osmocote,1,26.8,3.6
Osmocote,2,25.1,3.8
Osmocote,3,27.4,3.6
Osmocote,4,27.5,3.5
Osmocote,5,32.2,4
Osmocote,6,35.7,3.6
Osmocote,7,30.4,3.9
Osmocote,8,31.5,4.1
Osmocote,9,30,3.2
Osmocote,10,31.8,3.9
Osmocote,11,29.4,3.5
Osmocote,12,28.7,3.3
